Metric,Score
F1,0.8880898876404495
AUC-ROC,0.9521210183386773
AUC-PR,0.9574677216456388
Accuracy,0.8871260199456029
Precision,0.8805704099821747
Recall,0.8957388939256573
Sensitivity,0.8957388939256573
Specificity,0.8785131459655485
