Metric,Score
F1,0.9064748201438849
AUC-ROC,0.963070715406511
AUC-PR,0.9635035537421014
Accuracy,0.9057116953762466
Precision,0.8991971454058876
Recall,0.9138712601994561
Sensitivity,0.9138712601994561
Specificity,0.8975521305530372
FPR,0.10244786944696282
FNR,0.08612873980054397
