Metric,Value
True Negatives,1031
False Positives,72
False Negatives,120
True Positives,983
Threshold,0.5384615384615384
CV Folds,10
Base Models,10
Meta Models (top3 used),3
Toxic Weight Multiplier,1.5
Tripeptides,1000
Optuna XGB trials,20
Optuna RF trials,20
MLP meta-model,Yes
