Metric,Score
F1,0.8805268109125117
AUC-ROC,0.9483042620924225
AUC-PR,0.9559657625014288
Accuracy,0.8848594741613781
Precision,0.9149560117302052
Recall,0.8485947416137806
Sensitivity,0.8485947416137806
Specificity,0.9211242067089755
FPR,0.07887579329102448
FNR,0.1514052583862194
MCC,0.7717515334272603
Kappa,0.7697189483227561
NPV,0.8588334742180896
PPV,0.9149560117302052
