Model,F1,AUC,Accuracy,Precision,Recall
Champion Ensemble (v11),0.9042457091237579,0.9599748152446678,0.9038984587488668,0.900990099009901,0.9075249320036265
Fine-tuned + Contrastive,0.8483171968649147,0.9113815531530672,0.8508612873980055,0.8630393996247655,0.8340888485947416
