Metric,Score
F1,0.8836329233680227
AUC-ROC,0.9505802603794645
AUC-PR,0.9575393878044194
Accuracy,0.8884859474161378
Precision,0.923837784371909
Recall,0.8467815049864007
Sensitivity,0.8467815049864007
Specificity,0.9301903898458749
FPR,0.06980961015412511
FNR,0.15321849501359927
