Metric,Score
F1,0.9117516629711752
AUC-ROC,0.9669614477617706
AUC-PR,0.9673723424914784
Accuracy,0.9097914777878513
Precision,0.8923611111111112
Recall,0.9320036264732547
Sensitivity,0.9320036264732547
Specificity,0.8875793291024479
FPR,0.11242067089755213
FNR,0.06799637352674524
