Metric,Value
True Negatives,1042
False Positives,61
False Negatives,129
True Positives,974
Threshold,0.68
CV Folds,10
Base Models,10
Meta Models (top3 used),3
Toxic Weight Multiplier,1.5
Tripeptides,1000
Optuna XGB trials,20
Optuna RF trials,20
MLP meta-model,Yes
