Metric,Score
F1,0.9083333333333333
AUC-ROC,0.9637459528903698
AUC-PR,0.9679986366750482
Accuracy,0.9102447869446962
Precision,0.9280983916745507
Recall,0.8893925657298277
Sensitivity,0.8893925657298277
Specificity,0.9310970081595649
FPR,0.06890299184043518
FNR,0.11060743427017226
