Model,F1,AUC,Accuracy,Precision,Recall
ESM2 Meta,0.8885844748858448,0.9547808704357768,0.8893925657298277,0.8951241950321988,0.8821396192203083
PEPE Meta,0.8865507776761208,0.953667119016874,0.8875793291024479,0.8947368421052632,0.8785131459655485
Champion Ensemble,0.895576835385317,0.9565217748676855,0.8961922030825022,0.9009174311926605,0.8902991840435177
