Metric,Score
F1,0.9121225777377197
AUC-ROC,0.9656631670487397
AUC-PR,0.9653840984447758
Accuracy,0.9116047144152312
Precision,0.9068100358422939
Recall,0.9174977334542158
Sensitivity,0.9174977334542158
Specificity,0.9057116953762466
FPR,0.0942883046237534
FNR,0.08250226654578423
