Metric,Value
True Negatives,995
False Positives,108
False Negatives,113
True Positives,990
Threshold,0.49183673469387756
CV Folds,3
Base Models,9
Meta Models,3
Neural Blender,Shallow (8-4)
SMOTE,No (weights)
Optuna trials (fast),10
Optuna trials (slow),3 (GB/SVM/MLP)
